Period,General Marriage_Rate_and Divorce_Rate,Count
2005,Marriage Rate,13.76
2006,Marriage Rate,14.17
2007,Marriage Rate,13.98
2008,Marriage Rate,14.11
2009,Marriage Rate,13.7
2010,Marriage Rate,13.04
2011,Marriage Rate,12.46
2012,Marriage Rate,12.51
2013,Marriage Rate,11.44
2014,Marriage Rate,11.56
2015,Marriage Rate,11.12
2016,Marriage Rate,10.94
2017,Marriage Rate,10.9
2018,Marriage Rate,10.81
2019,Marriage Rate,9.66
2020,Marriage Rate,8.3
2005,Divorce Rate,11.9
2006,Divorce Rate,11.9
2007,Divorce Rate,11.3
2008,Divorce Rate,11.3
2009,Divorce Rate,10.1
2010,Divorce Rate,10.1
2011,Divorce Rate,9.7
2012,Divorce Rate,9.9
2013,Divorce Rate,9.3
2014,Divorce Rate,9.1
2015,Divorce Rate,9.2
2016,Divorce Rate,8.7
2017,Divorce Rate,8.3
2018,Divorce Rate,7.6
2019,Divorce Rate,8.4
2020,Divorce Rate,7.6
