Organisation Name,Organisation Type,Main_ parent or sponsoring department,Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,Payroll staff Other_ unknown or unspecified Headcount,Payroll staff Other_ unknown or unspecified Full-time Equivalent,Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants Headcount,Non-payroll Staff Consultants Full-time Equivalent,Non-payroll staff total headcount,Non-payroll staff  Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff_ interim managers and specialist contractors,Non-payroll Staff Total monthly costs of consulants/consultancy,Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",78,76.77,472,461.7,2298,2267.67,2441,2377.76,326,312.8,0,0.0,5615,5497,12,12.0,0,0.0,60,53.14,16,9.26,88,74.4,5703,5571,"£21,172,779.74","£985,270.96","£214,740.00","£43,586.09","£5,952,988.88","£2,500,612.88","£30,869,978.55","£2,277,802.00","£4,163,859.00","£6,441,661.00","£37,311,639.55",,,,,,,
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",57,51.04,340,320.49,608,565.68,57,52.56,6,6.0,0,0.0,1068,996,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1068,996,"£2,679,482.11","£21,503.28",£550.00,"£3,669.08","£723,085.71","£266,564.52","£3,694,854.70",£0.00,£0.00,£0.00,"£3,694,854.70",,,,,,,
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1411,1388.1,172,158.05,28,26.8,0,0.0,0,0.0,0,0.0,1611,1573,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1611,1573,"£4,881,343.87","£122,270.12","£22,842.18","£690,539.96","£913,927.32","£642,672.42","£7,273,595.87",£0.00,£0.00,£0.00,"£7,273,595.87",,,,,,,
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",13,11.8,28,26.5,187,181.8,60,60.0,3,3.0,0,0.0,291,283,9,9.0,0,0.0,0,0.0,0,0.0,9,9.0,300,292,"£935,986.42","£14,438.55",£862.88,"£3,893.70","£251,959.52","£101,509.32","£1,308,650.39","£54,029.00",£0.00,"£54,029.00","£1,362,679.39",,,,,,,
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.0,1,1.0,11,9.84,19,16.63,5,4.9,0,0.0,36,32,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,36,32,"£264,428.00",£0.00,£0.00,£0.00,"£45,864.00","£20,082.00","£330,374.00",£0.00,£0.00,£0.00,"£330,374.00",,,,,,,
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",424,369.15,292,274.08,303,292.26,75,74.03,7,7.0,0,0.0,1101,1017,3,3.0,0,0.0,23,23.0,0,0.0,26,26.0,1127,1043,"£2,649,885.49","£26,709.12",£0.00,"£36,554.42","£718,326.52","£262,532.07","£3,694,007.62","£5,063.97","£188,642.02","£193,705.99","£3,887,713.61",,,,,,,
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",4,4.0,1,1.0,4,3.72,6,6.0,0,0.0,1,1.0,16,16,0,0.0,0,0.0,0,0.0,2,2.0,2,2.0,18,18,"£66,709.33",£216.66,£0.00,£0.00,"£18,555.81","£7,608.52","£93,090.32",£0.00,"£4,650.00","£4,650.00","£97,740.32",,,,,,,d
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1798,1699.843393,2192,1931.078514,2184,1978.618408,307,291.6715015,27,27.0,0,0.0,6508,5928,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6508,5928,"£15,461,501.33","£247,902.32","£6,000.00","£1,764,308.04","£4,157,374.41","£13,401,291.16","£35,038,377.26","£365,374.77","£329,476.88","£694,851.65","£35,733,228.91",,,,,,,
Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",627,589.668,212,201.375,793,760.164,139,135.725,10,9.6,0,0.0,1781,1697,39,39.0,0,0.0,7,7.0,0,0.0,46,46.0,1827,1743,"£4,628,536.97","£15,550.72","£4,800.00","£6,125.70","£1,258,227.65","£475,040.36","£6,388,281.40","£385,369.07",£0.00,"£385,369.07","£6,773,650.47",,,,,,,
UK Intellectual Property Office,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",231,212.2,486,458.41,512,492.89,360,340.78,27,26.7,0,0.0,1616,1531,87,87.0,0,0.0,84,83.79,0,0.0,171,170.79,1787,1702,"£4,717,696.00","£199,948.00","£110,105.00","£172,593.00","£1,348,542.00","£544,339.00","£7,093,223.00","£852,099.00",£0.00,"£852,099.00","£7,945,322.00",,,,,,,
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",126,125.675676,188,181.232446,1237,1163.477198,565,532.422474,9,9.0,0,0.0,2125,2012,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2125,2012,"£6,460,048.32","£718,512.62",£0.00,£0.00,"£950,620.85","£1,789,076.85","£9,918,258.64","£905,299.02","£46,320.00","£951,619.02","£10,869,877.66",,,,,,,
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,339,331.9,339,332,6,5.6,31,30.4,0,0.0,0,0.0,37,36.0,376,368,"£2,041,628.05","£78,811.51","£6,692.83",£0.00,"£549,575.59","£261,401.57","£2,938,109.55",£0.00,"£307,706.46","£307,706.46","£3,245,816.01",,,,,,,
UKAEA,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",84,78.76,218,214.47,829,815.15,313,302.4,14,13.5,88,88.0,1546,1512,0,0.0,0,0.0,538,538.0,0,0.0,538,538.0,2084,2050,"£5,617,665.61",£0.00,"-£226,754.00","£59,963.03","£972,212.06","£705,190.08","£7,128,276.78","£2,207,062.18",£0.00,"£2,207,062.18","£9,335,338.96",,,,,,,
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",1,1.0,19,19.0,120,118.8,115,113.1,8,8.0,0,0.0,263,260,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,263,260,"£986,589.90","£29,929.75",£0.00,£0.00,"£276,656.55","£114,057.66","£1,407,233.86","£354,564.97",£0.00,"£354,564.97","£1,761,798.83",,,,,,,
UKRI,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",673,627.88,1094,1042.38,4124,3988.76,1393,1341.98,227,216.02,302,293.62,7813,7511,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7813,7511,"£24,671,708.20","£1,073,343.62","£37,169.79","£144,418.71","£19,964,764.10","£2,756,868.88","£48,648,273.30","£1,698,636.48","£316,052.80","£2,014,689.28","£50,662,962.58",,,,,,,
